English Welt,Leather: 13oz Vegtan (/in^2), 120
English Welt,Cutting: Curved 9+oz (/in), 60
English Welt,Cutting: Channel (/in), 60
English Welt,Leather: Welt (/in), 60 
English Welt,Stitching: Welt (/in), 60
Turned Sole,Leather: 10oz Latigo (/in^2), 120
Turned Sole,Cutting: Curved 9+oz (/in), 60
Turned Sole,Stitching: Tunnel (/in), 60
Ankle Boot,Patternmaking (/in^2), 15
Ankle Boot,Leather: Beeswaxed Vegtan (/in^2), 15
Ankle Boot,Stitching: 6oz Curved (/in), 8
Heel Stiffener,Leather: Beeswaxed Vegtan (/in^2),14
Heel Stiffener,Cutting: Curved (/in),9
Heel Stiffener,Stitching: 6oz Curved (/in), 9

