"NAME,C,254","TYPE,C,254","LENGTH___F,N,19,6","WIDTH___FE,N,19,6","HEIGHT___F,N,19,6","FLOOR_SPAC,N,11,0","YEAR_BUILT,N,11,0","ROOF,C,254","ROOF_REPLA,N,11,0","ACCESSIBLE,C,254","AMENITIES,C,100","COMMENTS,C,254","MAX_PDOP,N,19,6","MAX_HDOP,N,19,6","CORR_TYPE,C,254","RCVR_TYPE,C,254","GPS_DATE,C,254","GPS_TIME,C,254","UPDATE_STA,C,254","FEAT_NAME,C,254","DATAFILE,C,254","UNFILT_POS,N,11,0","FILT_POS,N,11,0","DATA_DICTI,C,254","GPS_WEEK,N,11,0","GPS_SECOND,N,19,6","GPS_HEIGHT,N,19,6","VERT_PREC,N,19,6","HORZ_PREC,N,19,6","STD_DEV,N,19,6","LATITUDE,C,254","LONGITUDE,C,254","SOURCE,C,100","FMSS_ID,N,16,0","STATUS,C,100","X_COORD,N,19,5","Y_COORD,N,19,5","Join_Id,C,50","TRAIL_CLUB,C,100","Town,C,50","County,C,50","State,C,25","Elev_feet,N,10,3","Publish,C,4","Version,C,20"
George W. Outerbridge,Log,15.000000,13.000000,9.500000,140,1965,Corregated_metal,2001,Unknown,Unknown,Uncertain about roof replacement date.,3.900000,1.700000,Differential,GeoExplorer 3,06/05/04,01:51:00pm,New,Shelter2,R060517B_edited.cor,37,37,ATversion11a,1273,582674.000000,969.647000,2.500000,1.300000,1.270099,40.782489972,-75.618317351,2004 Trail Assessment,95270,Official A.T. Shelter,-75.61831,40.78249,SH1,Blue Mountain Eagle Climbing Club,WASHINGTON TWP,LEHIGH,Pennsylvania,979.548,Yes,01/12/2015
David Lesser Memorial,Log/Lumber,17.000000,11.000000,20.000000,391,1991,Cedar_shingle,0,Unknown,Unknown,outside deck is included in floor space (391 s.f.),6.900000,2.900000,Differential,Geo XT,06/28/04,12:10:34pm,New,Shelter2,R062810B_edited.cor,28,28,ATversion11a,1277,144647.000000,1418.554000,2.200000,1.100000,7.154487,39.227199149,-77.779397757,2004 Trail Assessment; adjusted based on aerial imagery,95319,Official A.T. Shelter,-77.77939,39.22720,SH2,Potomac Appalachian Trail Club,,LOUDOUN,Virginia,0.000,Yes,01/12/2015
Gren Anderson,Log/Lumber,10.000000,18.000000,10.000000,128,1958,Asphalt_shingle,0,Unknown,Unknown,see notes,6.200000,2.600000,Differential,Geo XT,06/30/04,02:45:03pm,New,Shelter2,R063014A_edited.cor,35,35,ATversion11a,1277,326716.000000,1328.988000,1.700000,0.900000,1.145818,41.199482622,-74.753050040,2004 Trail Assessment; adjusted based on aerial imagery,95269,Official A.T. Shelter,-74.75305,41.19948,SH3,New York-New Jersey Trail Conference,FRANKFORD TWP,SUSSEX,New Jersey,1288.978,Yes,01/12/2015
Brink Road,Log/Lumber,12.000000,16.000000,8.000000,35,1970,Asphalt_shingle,0,Unknown,Unknown,This shelter is in serious disrepair and very small,6.200000,3.300000,Differential,Geo XT,07/01/04,07:49:37am,New,Shelter2,R070107A_edited.cor,35,35,ATversion11a,1277,388190.000000,1144.495000,1.500000,1.100000,10.349872,41.153230724,-74.838185881,2004 Trail Assessment,95229,Official A.T. Shelter,-74.83818,41.15323,SH4,New York-New Jersey Trail Conference,SANDYSTON TWP,SUSSEX,New Jersey,1105.173,Yes,01/12/2015
High Point,Stone,12.000000,16.000000,10.000000,96,0,Corregated_metal,0,Unknown,Unknown,looks to be in good shape,5.400000,3.700000,Differential,Geo XT,07/13/04,12:48:24pm,New,Shelter2,R071311A_edited.cor,30,30,ATversion11a,1279,233317.000000,1298.003000,1.300000,1.000000,7.033579,41.315757754,-74.657673786,2004 Trail Assessment; adjusted based on aerial imagery,95359,Official A.T. Shelter,-74.65767,41.31576,SH5,New York-New Jersey Trail Conference,WANTAGE TWP,SUSSEX,New Jersey,1275.549,Yes,01/12/2015
RPH,Other,21.000000,12.000000,20.000000,252,0,Asphalt_shingle,0,Unknown,Unknown,Formerly a cabin converted to a shelter.,2.500000,1.300000,Differential,Geo XT,07/19/04,10:55:12am,New,Shelter2,R071910A_edited.cor,30,30,ATversion11a,1280,140126.000000,372.415000,0.600000,0.400000,0.816415,41.514502858,-73.792808279,2004 Trail Assessment,95355,Official A.T. Shelter,-73.79280,41.51450,SH6,New York-New Jersey Trail Conference,"EAST FISHKILL, TOWN OF",DUTCHESS,New York,356.684,Yes,01/12/2015
West Mountain,Stone,14.000000,18.000000,9.000000,252,0,Asphalt_shingle,0,Unknown,Unknown,Roof and flashing around chimneys needs to be replaced,3.400000,1.700000,Differential,Geo XT,08/11/04,01:06:16pm,New,Shelter,R081111A_edited.cor,79,79,,1283,320789.000000,1227.597000,0.800000,0.500000,6.322117,41.282364328,-74.009636761,2004 Trail Assessment,95356,Official A.T. Shelter,-74.00963,41.28236,SH7,New York-New Jersey Trail Conference,"STONY POINT, TOWN OF",ROCKLAND,New York,1197.714,Yes,01/12/2015
William Brien Memorial,Stone/Log,18.000000,16.000000,9.000000,288,0,Asphalt_shingle,0,Unknown,Unknown,,5.900000,3.600000,Differential,Geo XT,08/11/04,03:53:38pm,New,Shelter,R081111A_edited.cor,22,22,,1283,330832.000000,1101.385000,2.200000,1.000000,3.350578,41.279740799,-74.059728294,2004 Trail Assessment,95283,Official A.T. Shelter,-74.05972,41.27974,SH8,New York-New Jersey Trail Conference,"WOODBURY, TOWN OF",ORANGE,New York,1069.499,Yes,01/12/2015
William Penn,Log/Lumber,10.000000,16.000000,20.000000,150,1993,Asphalt_shingle,0,No,Unknown,Underused by NOBOS because many push on to 501 shelter,3.000000,1.400000,Differential,GeoExplorer 3,08/25/04,03:09:22pm,New,Shelter,R082513A_edited.cor,31,31,,1285,328175.000000,1376.276000,2.200000,1.300000,1.827357,40.495584831,-76.414444795,2004 Trail Assessment; adjusted slightly,95316,Official A.T. Shelter,-76.41444,40.49558,SH9,Blue Mountain Eagle Climbing Club,BETHEL TWP,BERKS,Pennsylvania,1349.574,Yes,01/12/2015
Rocky Mountain,Lumber,12.000000,9.000000,9.000000,176,0,Asphault Shingle,0,No,Unknown,2 shelters at this site; see other point,5.600000,2.800000,Differential,GeoExplorer 3,04/18/04,04:47:00pm,New,FMSS Shelter,R041820A_edited.cor,20,20,AT Version 9.0,1267,74833.000000,1585.493000,2.000000,1.400000,15.978073,39.868502395,-77.500910542,2004 Trail Assessment; adjusted based on aerial imagery,95209,Official A.T. Shelter,-77.50091,39.86850,SH10,Potomac Appalachian Trail Club,GUILFORD TWP,FRANKLIN,Pennsylvania,1520.427,Yes,01/12/2015
James Fry at Tagg Run,Stick,20.120000,10.120000,13.500000,310,1998,Asphault Shingle,0,Unknown,Unknown,,4.200000,1.500000,Uncorrected,GeoExplorer 3,02/10/04,11:22:46am,New,FMSS Shelter,R021015A_edited.ssf,20,20,AT Version 9.0,1257,228179.000000,786.602000,11.000000,5.900000,11.307553,40.062936661,-77.206432110,2004 Trail Assessment; adjusted slightly,95368,Official A.T. Shelter,-77.20643,40.06294,SH11,Mountain Club of Maryland,DICKINSON TWP,CUMBERLAND,Pennsylvania,761.341,Yes,01/12/2015
Alec Kennedy,Lumber,16.250000,8.250000,9.500000,167,0,Asphault Shingle,0,Yes,Unknown,,5.000000,2.700000,Differential,GeoExplorer 3,02/17/04,03:11:03pm,New,FMSS Shelter,R021719A_edit.cor,22,22,AT Version 9.0,1258,241876.000000,949.318000,2.900000,2.000000,4.627635,40.111761578,-77.104367186,2004 Trail Assessment; adjusted slightly,95367,Official A.T. Shelter,-77.10436,40.11176,SH12,Mountain Club of Maryland,SOUTH MIDDLETON TWP,CUMBERLAND,Pennsylvania,975.731,Yes,01/12/2015
Birch Run,Lumber,14.080000,14.080000,12.000000,344,0,Corregated Metal,0,No,Unknown,,3.900000,2.100000,Differential,GeoExplorer 3,02/21/04,12:07:24pm,New,FMSS Shelter,R022116A_edited.cor,21,21,AT Version 9.0,1258,576457.000000,1838.516000,2.300000,1.600000,8.280628,39.985098960,-77.419759719,2004 Trail Assessment; adjusted based on aerial imagery,95294,Official A.T. Shelter,-77.41975,39.98510,SH13,Potomac Appalachian Trail Club,SOUTHAMPTON TWP,CUMBERLAND,Pennsylvania,1789.015,Yes,01/12/2015
Quarry Gap,Log/Lumber,34.300000,14.300000,12.000000,120,2003,Corregated Fiberglas,0,Yes,Unknown,,5.600000,3.100000,Differential,GeoExplorer 3,02/21/04,03:15:12pm,New,FMSS Shelter,R022119A_edited.cor,21,21,AT Version 9.0,1258,587725.000000,1521.990000,3.300000,2.200000,15.351791,39.931963269,-77.486690169,2004 Trail Assessment,95318,Official A.T. Shelter,-77.48669,39.93196,SH14,Potomac Appalachian Trail Club,GREENE TWP,FRANKLIN,Pennsylvania,1448.863,Yes,01/12/2015
Antietam,Log/Lumber,14.500000,10.250000,8.500000,95,0,Corregated Metal,0,Yes,Unknown,,6.900000,3.200000,Differential,GeoExplorer 3,03/06/04,12:46:49pm,New,FMSS Shelter,R030616A_edited.cor,25,25,AT Version 9.0,1260,578823.000000,924.132000,4.300000,2.400000,7.489921,39.793781215,-77.482881897,2004 Trail Assessment,95224,Official A.T. Shelter,-77.48288,39.79378,SH15,Potomac Appalachian Trail Club,QUINCY TWP,FRANKLIN,Pennsylvania,889.687,Yes,01/12/2015
Tumbling Run,Lumber,12.500000,9.500000,9.300000,187,0,Asphault Shingle,0,No,Unknown,2 shelters at this site; see other point,5.100000,2.700000,Differential,GeoExplorer 3,03/06/04,01:33:58pm,New,FMSS Shelter,R030617A_edited.cor,21,21,AT Version 9.0,1260,581652.000000,1168.595000,1.800000,1.400000,17.574739,39.804819940,-77.478375503,2004 Trail Assessment,95222,Official A.T. Shelter,-77.47837,39.80482,SH16,Potomac Appalachian Trail Club,QUINCY TWP,FRANKLIN,Pennsylvania,1084.900,Yes,01/12/2015
Tom's Run,Lumber,11.000000,8.000000,9.000000,187,0,Asphault Shingle,0,No,Unknown,2 shelters at this site; see other point,5.900000,2.000000,Differential,GeoExplorer 3,03/07/04,03:00:00pm,New,FMSS Shelter,R030718B._edited.cor,26,26,AT Version 9.0,1261,68414.000000,1400.914000,2.700000,1.300000,23.790595,40.033647204,-77.357108991,2004 Trail Assessment,95206,Official A.T. Shelter,-77.35710,40.03365,SH17,Potomac Appalachian Trail Club,COOKE TWP,CUMBERLAND,Pennsylvania,1293.121,Yes,01/12/2015
Cove Mountain,Log/Lumber,16.000000,12.000000,0.000000,276,0,Corregated Metal,0,Yes,Unknown,,2.600000,1.700000,Differential,GeoExplorer 3,03/27/04,05:09:33pm,New,FMSS Shelter,R032721A_edited.cor,21,21,AT Version 9.0,1263,594587.000000,1143.893000,1.300000,1.200000,11.470754,40.363570289,-77.067594468,2004 Trail Assessment; adjusted slightly,95365,Official A.T. Shelter,-77.06759,40.36357,SH18,Mountain Club of Maryland,PENN TWP,PERRY,Pennsylvania,1109.680,Yes,01/12/2015
Deer Lick,Lumber,12.000000,9.000000,9.000000,94,0,Asphault Shingle,0,Unknown,Unknown,2 shelters at this site; see other point,3.900000,2.400000,Uncorrected,GeoExplorer 3,03/28/04,02:57:24pm,New,FMSS Shelter,R032818A_edited.cor,20,20,AT Version 9.0,1264,68258.000000,1455.518000,9.400000,6.100000,35.770153,39.766124834,-77.485119129,2004 Trail Assessment,95210,Official A.T. Shelter,-77.48511,39.76612,SH19,Potomac Appalachian Trail Club,WASHINGTON TWP,FRANKLIN,Pennsylvania,1417.323,Yes,01/12/2015
Dick's Dome,Lumber,7.000000,10.000000,12.000000,70,0,Asphault Shingle,0,Unknown,Unknown,,5.500000,2.900000,Differential,GeoExplorer 3,04/11/04,09:42:48am,New,FMSS Shelter,R041103A_edited.cor,24,24,AT Version 9.0,1266,49381.000000,1530.907000,2.400000,1.600000,53.670262,38.969664163,-77.997501450,2004 Trail Assessment; adjusted based on aerial imagery,95370,Official A.T. Shelter,-77.99750,38.96966,SH20,Potomac Appalachian Trail Club,,FAUQUIER,Virginia,0.000,Yes,01/12/2015
Spruce Peak,Log,21.900000,13.000000,13.500000,231,1984,Corregated_metal,0,No,Unknown,wood stove; picnic table; fire ring; interior table; 4 sleeping decks; 4 ft 9 in deep front porch,6.000000,2.700000,Differential,Geo XT,07/07/04,03:09:44pm,New,Shelter,DAVE7704._edited.cor,78,78,,1278,328197.000000,2179.139000,4.400000,2.800000,6.082131,43.178601006,-72.995685050,2004 Trail Assessment,95312,Official A.T. Shelter,-72.99568,43.17860,SH21,Green Mountain Club,"WINHALL, TOWN OF",BENNINGTON,Vermont,2197.757,Yes,01/12/2015
Moose Mountain,Log,15.000000,12.000000,12.000000,180,2004,Corregated_metal,2004,Yes,Unknown,,4.100000,2.100000,Differential,Geo XT,04/20/04,02:59:47pm,New,Shelter,R042013B_edited.cor,31,31,,1267,241200.000000,2117.919000,4.800000,3.300000,0.883545,43.727215170,-72.149778893,2004 Trail Assessment,95291,Official A.T. Shelter,-72.14977,43.72722,SH22,Dartmouth Outing Club,"HANOVER, TOWN OF",GRAFTON,New Hampshire,2093.052,Yes,01/12/2015
Old Moose Mountain (old shelter),Log/Lumber,16.500000,13.000000,6.500000,208,0,Asphault_shingle,0,No,Unknown,scheduled for replacement in 2004/5,7.800000,4.900000,Differential,Geo XT,04/20/04,03:25:59pm,New,Shelter,R042013B_edited.cor,107,107,,1267,242773.000000,1895.470000,4.300000,3.100000,15.479372,43.727926269,-72.147570066,2004 Trail Assessment,0,"Old shelter, now removed??",-72.14757,43.72793,SH23,Dartmouth Outing Club,"HANOVER, TOWN OF",GRAFTON,New Hampshire,1858.047,No,01/12/2015
Winturri,Other,16.000000,11.000000,11.000000,160,0,Corregated_metal,0,Yes,Unknown,milled lumber,5.000000,2.700000,Differential,Geo XT,05/10/04,02:23:33pm,New,Shelter,R051009A_edited.cor,68,68,,1270,152626.000000,1946.832000,5.700000,3.200000,26.207727,43.662210257,-72.622433438,2004 Trail Assessment,95327,Official A.T. Shelter,-72.62243,43.66221,SH24,Green Mountain Club,"BRIDGEWATER, TOWN OF",WINDSOR,Vermont,1927.832,Yes,01/12/2015
Jeffers Brook,Log,20.500000,11.000000,11.000000,190,1981,Asphault_shingle,1981,No,Unknown,,4.800000,2.400000,Differential,Geo XT,05/21/04,10:21:14am,New,Shelter,R052104B_edited.cor,34,34,,1271,483688.000000,1343.878000,4.300000,3.200000,10.407617,43.996710341,-71.889480399,2004 Trail Assessment,95288,Official A.T. Shelter,-71.88948,43.99671,SH25,Dartmouth Outing Club,"BENTON, TOWN OF",GRAFTON,New Hampshire,1327.722,Yes,01/12/2015
East Branch Lean-to,Log,17.000000,19.000000,9.000000,102,0,Corregated_metal,0,No,Unknown,"includes picnic table, 2 log tables, fire ring",5.700000,3.600000,Differential,Geo XT,05/24/04,11:03:23am,New,Shelter,R052404A_edited.cor,30,30,,1272,140616.000000,1274.989000,4.300000,4.400000,17.423512,45.596812163,-69.198797900,2004 Trail Assessment; adjusted based on 2013 data,95280,Official A.T. Shelter,-69.19879,45.59681,SH26,Maine Appalachian Trail Club,"SHAWTOWN, TOWN OF",PISCATAQUIS,Maine,1233.596,Yes,01/12/2015
Mount Wilcox South Lean-to,Timber_Frame,12.000000,6.000000,6.000000,72,0,Other,0,Unknown,Unknown,unsure of roofing material,6.800000,3.100000,Differential,Geo XT,07/14/04,10:38:57am,New,Shelter,R071408A_edited.cor,19,19,,1279,311951.000000,1866.500000,7.800000,4.400000,10.083809,42.207726741,-73.268755547,2004 Trail Assessment,95187,Official A.T. Shelter,-73.26875,42.20773,SH27,AMC - Berkshire Chapter,"MONTEREY, TOWN OF",BERKSHIRE,Massachusetts,1854.516,Yes,01/12/2015
